Index coax_placement_x  coax_placement_y  substrate_permittivity
  229 +6.6666666667E-01 +8.3333333333E+00 +3.0333333333E+00     
  230 +6.6666666667E-01 +9.0000000000E+00 +3.0333333333E+00     
  231 +1.3333333333E+00 +5.0000000000E+00 +3.0333333333E+00     
  232 +1.3333333333E+00 +5.6666666667E+00 +3.0333333333E+00     
  233 +1.3333333333E+00 +6.3333333333E+00 +3.0333333333E+00     
  234 +1.3333333333E+00 +7.0000000000E+00 +3.0333333333E+00     
  235 +1.3333333333E+00 +7.6666666667E+00 +3.0333333333E+00     
  236 +1.3333333333E+00 +8.3333333333E+00 +3.0333333333E+00     
  237 +1.3333333333E+00 +9.0000000000E+00 +3.0333333333E+00     
  238 +2.0000000000E+00 +5.0000000000E+00 +3.0333333333E+00     
  239 +2.0000000000E+00 +5.6666666667E+00 +3.0333333333E+00     
  240 +2.0000000000E+00 +6.3333333333E+00 +3.0333333333E+00     
  241 +2.0000000000E+00 +7.0000000000E+00 +3.0333333333E+00     
  242 +2.0000000000E+00 +7.6666666667E+00 +3.0333333333E+00     
  243 +2.0000000000E+00 +8.3333333333E+00 +3.0333333333E+00     
  244 +2.0000000000E+00 +9.0000000000E+00 +3.0333333333E+00     
  245 -2.0000000000E+00 +5.0000000000E+00 +3.0666666667E+00     
  246 -2.0000000000E+00 +5.6666666667E+00 +3.0666666667E+00     
  247 -2.0000000000E+00 +6.3333333333E+00 +3.0666666667E+00     
  248 -2.0000000000E+00 +7.0000000000E+00 +3.0666666667E+00     
  249 -2.0000000000E+00 +7.6666666667E+00 +3.0666666667E+00     
  250 -2.0000000000E+00 +8.3333333333E+00 +3.0666666667E+00     
  251 -2.0000000000E+00 +9.0000000000E+00 +3.0666666667E+00     
  252 -1.3333333333E+00 +5.0000000000E+00 +3.0666666667E+00     
  253 -1.3333333333E+00 +5.6666666667E+00 +3.0666666667E+00     
  254 -1.3333333333E+00 +6.3333333333E+00 +3.0666666667E+00     
  255 -1.3333333333E+00 +7.0000000000E+00 +3.0666666667E+00     
  256 -1.3333333333E+00 +7.6666666667E+00 +3.0666666667E+00     
  257 -1.3333333333E+00 +8.3333333333E+00 +3.0666666667E+00     
  258 -1.3333333333E+00 +9.0000000000E+00 +3.0666666667E+00     
  259 -6.6666666667E-01 +5.0000000000E+00 +3.0666666667E+00     
  260 -6.6666666667E-01 +5.6666666667E+00 +3.0666666667E+00     
